Submission Number,Date,Rating,Status,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended
878,21st July 2019,9,Trip Verified,Unknown,Family Leisure,Economy Class,Tel Aviv to Toronto via London,19-Jul,4,5,4,5,yes
879,20th July 2019,3,Trip Verified,A321,Solo Leisure,Business Class,Heathrow to Manchester,19-Jul,2,3,1,1,no
880,18th July 2019,8,Trip Verified,A320,Solo Leisure,Business Class,Brussels to Larnaca via London,19-Jun,3,4,4,4,yes
881,16th July 2019,2,Trip Verified,A320,Couple Leisure,Business Class,Stockholm to London,19-Jul,2,1,3,1,no
882,15th July 2019,2,Trip Verified,Unknown,Business,Business Class,Toronto to London,19-Jul,2,1,1,1,no
883,14th July 2019,7,Trip Verified,Boeing 737,Family Leisure,Premium Economy,Orlando to London,19-Jul,3,4,3,3,yes
884,13th July 2019,1,Trip Verified,A320,Couple Leisure,Business Class,Lisbon to London,19-Jul,1,1,2,1,no
885,12th July 2019,1,Trip Verified,A320,Solo Leisure,Economy Class,Heathrow to Marseille,18-Sep,1,1,1,1,no
886,10th July 2019,3,Trip Verified,A320,Business,Business Class,Madrid to London,19-Jul,3,1,1,1,no
887,10th July 2019,1,Trip Verified,Unknown,Family Leisure,Economy Class,Gatwick to Glasgow,19-Jul,1,1,1,1,no
888,8th July 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Frankfurt to London,19-Jul,3,1,1,1,no
889,7th July 2019,1,Not Verified,Unknown,Couple Leisure,Economy Class,London to Olbia,19-Jul,2,1,2,1,no
890,6th July 2019,3,Trip Verified,Unknown,Solo Leisure,Economy Class,Rotterdam to London City,19-Jul,3,4,1,2,no
891,5th July 2019,9,Trip Verified,A320 neo,Business,Economy Class,Dublin to London,19-Jul,4,4,4,4,yes
892,4th July 2019,2,Trip Verified,B777-200,Couple Leisure,Economy Class,Barbados to Gatwick,19-Jul,3,1,3,3,no
893,2nd July 2019,10,Trip Verified,A380,Solo Leisure,Economy Class,London Heathrow to Singapore,19-Jun,5,5,5,5,yes
894,2nd July 2019,1,Trip Verified,A321,Business,Economy Class,Madrid to London Heathrow,19-Jun,1,1,1,1,no
895,1st July 2019,10,Trip Verified,Unknown,Solo Leisure,Economy Class,London Heathrow to Oslo,19-Jun,4,5,4,4,yes
896,30th June 2019,1,Trip Verified,A319 / Boeing 789,Business,Economy Class,Hamburg to Abu Dhabi via London Heathrow,19-Jun,1,2,1,3,no
897,29th June 2019,7,Trip Verified,Boeing 777-200 and A319,Solo Leisure,Economy Class,New York to Glasgow via London,19-Jun,3,3,3,4,yes
898,28th June 2019,10,Trip Verified,Unknown,Family Leisure,Economy Class,London Heathrow to New York ,19-Jun,5,5,5,5,yes
899,27th June 2019,10,Trip Verified,Boeing 777-200,Family Leisure,Business Class,Gatwick to Bermuda,19-Jun,4,5,3,5,yes
900,27th June 2019,10,Trip Verified,A320,Couple Leisure,Business Class,London Heathrow to Larnaca,19-Jun,4,5,5,5,yes
901,26th June 2019,6,Trip Verified,A320-200,Couple Leisure,Economy Class,Gatwick to Cagliari,19-Jun,3,2,4,1,yes
902,26th June 2019,8,Trip Verified,A320,Couple Leisure,Economy Class,Heathrow to Kalamata,19-Jun,5,4,3,3,yes
903,24th June 2019,3,Trip Verified,Unknown,Business,Economy Class,London to Gothenburg,19-Jun,Unknown,Unknown,2,2,no
904,24th June 2019,1,Trip Verified,A320,Solo Leisure,Economy Class,Amsterdam to London,19-Feb,Unknown,Unknown,1,1,no
905,22nd June 2019,5,Trip Verified,A321 Neo,Business,Economy Class,Istanbul to London,19-Jun,1,4,4,3,yes
906,20th June 2019,5,Trip Verified,A321 / Boeing 787-9,Family Leisure,Economy Class,Manchester to Kuala Lumpur via London ,18-Oct,2,2,3,3,no
907,17th June 2019,6,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Dusseldorf,19-Jan,3,3,5,4,no
908,16th June 2019,1,Trip Verified,Boeing 787,Solo Leisure,Business Class,London to Seoul ,19-Jun,1,1,1,1,no
909,14th June 2019,7,Not Verified,A380,Solo Leisure,Economy Class,London to Vancouver,19-Jun,2,4,3,3,no
910,14th June 2019,3,Not Verified,Unknown,Solo Leisure,Economy Class,Newcastle to Delhi via London,19-Jun,2,2,1,1,no
911,12th June 2019,1,Trip Verified,Boeing 747,Business,Business Class,Miami to Delhi via London Heathrow,19-Jun,1,3,2,1,no
912,9th June 2019,3,Not Verified,Unknown,Solo Leisure,Economy Class,London to Sydney via Singapore,19-Jun,3,3,1,2,no
913,9th June 2019,4,Trip Verified,Unknown,Couple Leisure,Economy Class,Phoenix to Amsterdam via London,19-May,1,3,4,3,no
914,8th June 2019,3,Trip Verified,Boeing 777 / 747,Solo Leisure,Economy Class,Tel Aviv to New York via London,19-Jun,3,4,3,3,no
915,7th June 2019,5,Trip Verified,A319 / Boeing 777,Solo Leisure,Economy Class,Belfast  to Atlanta via London,19-Apr,3,4,3,2,no
916,7th June 2019,10,Trip Verified,Unknown,Family Leisure,Economy Class,Buenos Aires to London,19-Jun,5,5,5,5,yes
917,6th June 2019,1,Trip Verified,Boeing 787-9,Business,Business Class,London to Nashville,19-May,1,1,1,1,no
918,6th June 2019,10,Trip Verified,B747-400 in retro,Solo Leisure,First Class,London to Washington,19-Jun,5,5,5,5,yes
919,6th June 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Newcastle to Berlin via London,19-Jun,3,3,1,1,no
920,5th June 2019,8,Trip Verified,Unknown,Family Leisure,Economy Class,Gatwick to Madrid,19-May,2,2,1,1,no
921,4th June 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London to Tampa,19-May,1,1,1,1,no
922,2nd June 2019,6,Trip Verified,Unknown,Business,Economy Class,London to Bengaluru,19-Jun,4,3,3,4,yes
923,2nd June 2019,8,Trip Verified,Unknown,Couple Leisure,First Class,London to Delhi,19-May,4,5,4,4,yes
924,1st June 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London Heathrow to Dubai,19-May,Unknown,Unknown,Unknown,1,no
925,30th May 2019,10,Not Verified,Boeing 747,Couple Leisure,Economy Class,London to Seattle,19-May,4,5,5,5,yes
926,29th May 2019,5,Trip Verified,Unknown,Couple Leisure,Economy Class,Johannesburg to London,19-May,3,4,4,5,no
927,28th May 2019,9,Trip Verified,A319/A320,Business,Economy Class,London to Milan,19-May,3,5,4,3,yes
928,28th May 2019,10,Trip Verified,B737-400 / A380 / A319,Couple Leisure,Business Class,Durban to Leeds via Johannesburg / Heathrow,19-May,4,5,5,5,yes
929,27th May 2019,9,Trip Verified,Boeing 787,Couple Leisure,Business Class,London Heathrow to Los Angeles,19-May,4,5,5,4,yes
930,27th May 2019,7,Trip Verified,Boeing 744,Couple Leisure,Business Class,Cape Town to London Heathrow,19-May,3,4,4,3,yes
931,27th May 2019,1,Trip Verified,A321,Business,Economy Class,Sofia to Belfast via London,19-May,1,1,1,1,no
932,26th May 2019,5,Trip Verified,Boeing 777-200,Couple Leisure,Economy Class,Lima to Gatwick,19-May,2,4,4,3,no
933,23rd May 2019,3,Trip Verified,Unknown,Solo Leisure,Economy Class,Inverness to Auckland via Singapore,19-May,1,5,4,2,no
934,23rd May 2019,4,Trip Verified,Unknown,Solo Leisure,Business Class,Heathrow to Singapore,19-May,3,3,3,3,no
935,23rd May 2019,3,Trip Verified,Unknown,Business,Economy Class,Lyon to London,19-May,4,3,1,3,no
936,22nd May 2019,3,Trip Verified,Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Barbados,19-May,3,1,3,3,no
937,20th May 2019,4,Trip Verified,Unknown,Couple Leisure,Economy Class,Marseille to London,19-May,3,1,1,2,no
938,20th May 2019,10,Trip Verified,Unknown,Family Leisure,Business Class,London to Chennai,19-May,4,5,5,4,yes
939,19th May 2019,8,Trip Verified,A320,Solo Leisure,Economy Class,Gatwick to Malaga,19-May,5,5,4,5,yes
940,18th May 2019,6,Trip Verified,A380 / Boeing 777,Solo Leisure,Economy Class,Boston to London Heathrow,19-May,4,4,4,4,yes
941,18th May 2019,7,Trip Verified,Boeing 747-400,Couple Leisure,First Class,London to Cape Town,19-May,4,4,3,3,yes
942,17th May 2019,8,Trip Verified,Unknown,Couple Leisure,Economy Class,New York to Heathrow ,19-May,3,5,2,3,yes
943,16th May 2019,1,Trip Verified,A321,Business,Economy Class,London to Aberdeen,19-May,2,2,1,1,no
944,13th May 2019,1,Trip Verified,A319,Business,Business Class,Gatwick to Dubrovnik,19-May,1,3,1,1,no
945,11th May 2019,1,Trip Verified,Unknown,Couple Leisure,Premium Economy,London to Shanghai,19-Mar,1,1,1,1,no
946,10th May 2019,2,Trip Verified,A320,Business,Business Class,Faro to Heathrow,19-May,3,4,1,2,no
947,8th May 2019,9,Trip Verified,A380,Couple Leisure,Economy Class,Vancouver to London,19-May,4,5,4,4,yes
948,8th May 2019,1,Trip Verified,Unknown,Couple Leisure,Business Class,Gatwick to Tenerife,19-May,1,4,1,1,no
949,7th May 2019,8,Trip Verified,Boeing 747 400,Business,First Class,Washington to London,19-May,4,4,3,4,yes
950,7th May 2019,10,Trip Verified,Embraer,Solo Leisure,Economy Class,Rome Fiumicino to London City,19-May,5,5,5,5,yes
951,4th May 2019,2,Trip Verified,Boeing 777-200,Business,Business Class,London to Shanghai,19-Apr,2,1,3,2,no
952,4th May 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Seattle to London,19-May,3,5,1,1,no
953,2nd May 2019,9,Trip Verified,Unknown,Business,Economy Class,London City to Zurich,19-Apr,5,5,4,5,yes
954,1st May 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Bucharest to London,19-Apr,3,3,1,1,no
955,1st May 2019,10,Trip Verified,Boeing 787,Solo Leisure,Business Class,London to Calgary,18-Dec,5,5,1,5,yes
956,1st May 2019,10,Trip Verified,Boeing 747,Couple Leisure,Business Class,Vancouver to London,19-Apr,5,5,5,5,yes
957,30th April 2019,8,Not Verified,Unknown,Couple Leisure,Business Class,Miami to London Heathrow,19-Apr,4,5,4,4,yes
958,29th April 2019,2,Trip Verified,Unknown,Solo Leisure,Economy Class,Houston to London Heathrow,19-Apr,2,1,2,2,no
959,29th April 2019,4,Trip Verified,Unknown,Business,Business Class,London to Delhi,19-Apr,2,2,3,2,no
960,27th April 2019,1,Trip Verified,Unknown,Business,Economy Class,Bucharest to London,19-Apr,2,2,1,1,no
961,23rd April 2019,9,Trip Verified,Boeing 777-200/300,Couple Leisure,Economy Class,London Heathrow to Bengaluru,19-Apr,3,5,5,5,yes
962,23rd April 2019,1,Not Verified,Unknown,Business,Business Class,Madrid to London,19-Apr,1,1,1,1,no
963,22nd April 2019,7,Trip Verified,A319,Solo Leisure,Economy Class,Dublin to London Heathrow,19-Apr,4,3,4,3,yes
964,18th April 2019,4,Trip Verified,Boeing 747-400,Business,Business Class,London to Seattle,19-Apr,4,2,3,2,no
965,18th April 2019,10,Trip Verified,A320,Family Leisure,Business Class,London to Gibraltar,19-Apr,4,5,4,5,yes
966,17th April 2019,5,Trip Verified,Boeing 747,Business,Business Class,London to Boston,19-Mar,2,3,4,2,no
967,14th April 2019,6,Trip Verified,Boeing 787-9,Family Leisure,Business Class,London to Doha,19-Apr,3,4,5,4,yes
968,14th April 2019,9,Trip Verified,Boeing 747,Couple Leisure,Economy Class,London Heathrow to Houston,19-Apr,5,5,4,4,yes
969,14th April 2019,2,Not Verified,A320,Business,Business Class,Larnaca to London,19-Mar,1,4,3,1,no
970,14th April 2019,5,Trip Verified,Unknown,Solo Leisure,Economy Class,Zurich to London,19-Apr,4,1,3,2,no
971,13th April 2019,6,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Pisa,19-Apr,5,4,3,3,yes
972,12th April 2019,10,Trip Verified,Boeing 787-9,Couple Leisure,First Class,London to Tokyo Narita,18-Nov,5,5,5,5,yes
973,11th April 2019,3,Trip Verified,Unknown,Couple Leisure,Business Class,Bridgetown to Gatwick,19-Mar,4,1,4,1,no
974,11th April 2019,1,Trip Verified,777,Couple Leisure,Economy Class,St Lucia to Gatwick,19-Apr,1,2,1,1,no
975,10th April 2019,1,Trip Verified,A380,Solo Leisure,Economy Class,Chicago to London,19-Apr,1,1,1,1,no
976,6th April 2019,1,Trip Verified,Unknown,Family Leisure,Economy Class,London to Bangalore,18-Sep,3,1,2,3,no
977,1st April 2019,3,Trip Verified,A320/B788,Solo Leisure,Economy Class,Hamburg to Abu Dhabi via Heathrow,19-Apr,1,3,3,4,no
978,1st April 2019,10,Trip Verified,Unknown,Couple Leisure,Economy Class,London to Seville,19-Mar,Unknown,Unknown,4,4,yes
979,1st April 2019,7,Trip Verified,Boeing 787-9 / A319,Family Leisure,Business Class,Doha to Paris via London,19-Mar,5,4,4,3,yes
980,29th March 2019,10,Trip Verified,A320 Neo,Couple Leisure,Business Class,Madrid to London,19-Mar,3,5,4,4,yes
981,28th March 2019,2,Trip Verified,Unknown,Couple Leisure,Economy Class,Tokyo to London,19-Mar,2,3,3,2,no
982,23rd March 2019,7,Trip Verified,Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver ,19-Mar,3,5,4,4,yes
983,23rd March 2019,8,Trip Verified,Boeing 777,Solo Leisure,First Class,London to Mumbai ,19-Mar,4,5,4,4,yes
984,21st March 2019,2,Trip Verified,Boeing 777,Business,First Class,London to Chicago ,19-Mar,2,2,2,2,no
985,19th March 2019,6,Trip Verified,Unknown,Solo Leisure,Economy Class,Leeds Bradford to Las Vegas via Heathrow,18-Sep,3,5,5,3,yes
986,19th March 2019,1,Trip Verified,Unknown,Solo Leisure,First Class,Dallas to London Heathrow,19-Mar,2,1,3,1,no
987,18th March 2019,2,Trip Verified,Unknown,Couple Leisure,Economy Class,Tenerife to Heathrow,19-Mar,1,4,2,1,no
988,16th March 2019,1,Trip Verified,A320,Business,Economy Class,London Heathrow to Larnaca Cyprus,19-Mar,2,3,1,1,no
989,14th March 2019,9,Trip Verified,Boeing 787,Couple Leisure,Business Class,Los Angeles to London,19-Mar,4,5,4,5,yes
990,14th March 2019,2,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Phoenix,19-Mar,2,5,1,2,no
991,13th March 2019,1,Trip Verified,Unknown,Business,Business Class,San Francisco to London,18-Apr,Unknown,Unknown,Unknown,1,no
992,13th March 2019,9,Trip Verified,A321,Solo Leisure,Economy Class,Rome to London,19-Mar,5,4,5,5,yes
993,12th March 2019,2,Trip Verified,A319,Business,Economy Class,Cologne to Gatwick,19-Mar,3,2,1,2,no
994,11th March 2019,1,Trip Verified,Boeing 777,Couple Leisure,Economy Class,Tampa to Gatwick,19-Mar,2,2,1,1,no
995,9th March 2019,10,Trip Verified,A320,Business,Economy Class,London Heathrow to Madrid ,19-Mar,5,5,5,5,yes
996,9th March 2019,1,Trip Verified,Boeing 777,Couple Leisure,Business Class,Gatwick to St Lucia,19-Feb,2,1,3,1,no
997,8th March 2019,9,Trip Verified,Boeing 777,Business,Economy Class,London to Austin,19-Feb,4,5,5,4,yes
998,7th March 2019,5,Trip Verified,A320,Family Leisure,Business Class,London to Pisa,19-Mar,1,4,3,1,no
999,4th March 2019,3,Trip Verified,B777,Couple Leisure,Economy Class,Edinburgh to Boston via London,19-Mar,1,2,1,1,no
